,nama,harga
0,b'APPLE iPhone 13 128GB - Midnight',b'13700000'
1,b'APPLE iPhone 13 256GB - Blue',b'17699000'
2,b'APPLE iPhone 14 128GB - Midnight',b'15999000'
3,b'APPLE iPhone 14 128GB - Red',b'15999000'
4,b'APPLE iPhone 14 256GB - Blue',b'18999000'
5,b'APPLE iPhone 14 256GB - Purple',b'18999000'
6,b'APPLE iPhone 14 256GB - Midnight',b'18999000'
7,b'APPLE iPhone 14 512GB - Starlight',b'22999000'
8,b'APPLE iPhone 14 256GB - Red',b'18999000'
9,b'APPLE iPhone 14 512GB - Blue',b'22999000'
10,b'APPLE iPhone 14 512GB - Midnight',b'22999000'
11,b'APPLE iPhone 15 128GB - Black',b'16499000'
12,b'APPLE iPhone 13 256GB - Starlight',b'17699000'
13,b'APPLE iPhone 13 512GB - Green',b'21199000'
14,b'APPLE iPhone 14 128GB - Blue',b'15999000'
15,b'APPLE iPhone 14 128GB - Purple',b'15999000'
16,b'APPLE iPhone 14 128GB - Starlight',b'15999000'
17,b'APPLE iPhone 14 256GB - Starlight',b'18999000'
18,b'APPLE iPhone 14 512GB - Purple',b'22999000'
19,b'APPLE iPhone 14 512GB - Red',b'22999000'
20,b'APPLE iPhone 13 Mini 256GB - Pink',b'15699000'
21,b'APPLE iPhone 13 Pro 512GB - Graphite',b'25299000'
22,b'APPLE iPhone 14 Plus 128GB - Red',b'17999000'
23,b'APPLE iPhone 14 Plus 128GB - Starlight',b'17999000'
24,b'APPLE iPhone 14 Plus 128GB - Blue',b'17999000'
25,b'APPLE iPhone 14 Plus 256GB - Red',b'20999000'
26,b'APPLE iPhone 14 Plus 256GB - Midnight',b'20999000'
27,b'APPLE iPhone 14 Plus 512GB - Purple',b'24999000'
28,b'APPLE iPhone 14 Plus 512GB - Red',b'24999000'
29,b'APPLE iPhone 14 Plus 256GB - Starlight',b'20999000'
30,b'APPLE iPhone 14 Plus 256GB - Purple',b'20999000'
31,b'APPLE iPhone 14 Plus 256GB - Blue',b'20999000'
32,b'APPLE iPhone 14 Plus 512GB - Midnight',b'24999000'
33,b'APPLE iPhone 14 Plus 512GB - Starlight',b'24999000'
34,b'APPLE iPhone 14 Plus 512GB - Blue',b'24999000'
35,b'APPLE iPhone 14 Pro 128GB - Silver',b'21999000'
36,b'APPLE iPhone 14 Pro 256GB - Silver',b'22999000'
37,b'APPLE iPhone 14 Pro 512GB - Silver',b'26999000'
38,b'APPLE iPhone 13 Pro 128GB - Graphite',b'18699000'
39,b'APPLE iPhone 14 Plus 128GB - Purple',b'17999000'
